postcode,Suburb,lat,lon,Region,Average_per_person,website
3076,EPPING,-37.638363,145.009493,North Eastern Melbourne,162,"https://www.google.com/maps/place/Epping+VIC+3076/@-37.6383583,144.9744734,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad64e893ad501e1:0x5045675218ccfd0!8m2!3d-37.638!4d145.01"
3078,ALPHINGTON,-37.780767,145.03116,North Eastern Melbourne,212,"https://www.google.com/maps/place/Alphington+VIC+3078/@-37.6383583,144.9744734,13z/data=!4m5!3m4!1s0x6ad6441328b2dc6d:0x5045675218cf6c0!8m2!3d-37.78!4d145.023"
3078,FAIRFIELD,-37.776946,145.018479,North Eastern Melbourne,212,"https://www.google.com/maps/place/Fairfield+VIC+3078/@-37.7781093,145.0147102,14z/data=!4m5!3m4!1s0x6ad6439ae823f7e3:0x5045675218ce700!8m2!3d-37.792!4d145.011"
3079,IVANHOE,-37.76964,145.041425,North Eastern Melbourne,210,"https://www.google.com/maps/place/Ivanhoe+VIC+3079/@-37.7703677,145.0282352,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad64395e191a311:0x5045675218cd5e0!8m2!3d-37.7703!4d145.0457"
3079,IVANHOE EAST,-37.77283,145.059401,North Eastern Melbourne,210,"https://www.google.com/maps/place/Ivanhoe+East+VIC+3079/@-37.7745208,145.0541033,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad6438c21ccb093:0x5045675218cd6b0!8m2!3d-37.772!4d145.066"
3081,HEIDELBERG WEST,-37.74944,145.0414,North Eastern Melbourne,196,"https://www.google.com/maps/place/Heidelberg+West+VIC+3081/@-37.7745208,145.0541033,15z/data=!4m5!3m4!1s0x6ad645d7115926a9:0x5045675218cfdb0!8m2!3d-37.744!4d145.047"
3082,MILL PARK,-37.667957,145.060693,North Eastern Melbourne,162,"https://www.google.com/maps/place/Mill+Park+VIC+3082/@-37.6641677,145.0475517,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad6493947b53431:0x5045675218cd080!8m2!3d-37.671!4d145.062"
3083,BUNDOORA,-37.70132,145.071967,North Eastern Melbourne,178,"https://www.google.com/maps/place/Bundoora+VIC+3083/@-37.7028204,145.0294732,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad648bf8539b447:0x5045675218cd130!8m2!3d-37.695!4d145.064"
3084,HEIDELBERG,-37.756341,145.067145,North Eastern Melbourne,196,"https://www.google.com/maps/place/Heidelberg+VIC+3084/@-37.7028204,145.0294732,13z/data=!4m5!3m4!1s0x6ad646682061e731:0x5045675218cd4f0!8m2!3d-37.752!4d145.07"
3088,GREENSBOROUGH,-37.704622,145.103024,North Eastern Melbourne,178,"https://www.google.com/maps/place/Greensborough+VIC+3088/@-37.7513722,145.0611855,15z/data=!4m5!3m4!1s0x6ad64842ea5adcf7:0x5045675218cd150!8m2!3d-37.686!4d145.117"
3094,MONTMORENCY,-37.715294,145.121583,North Eastern Melbourne,184,"https://www.google.com/maps/place/Montmorency+VIC+3094/@-37.6997624,145.0662008,13z/data=!4m5!3m4!1s0x6ad6483a6312c679:0x5045675218cd2c0!8m2!3d-37.719!4d145.126"
3095,ELTHAM,-37.71383,145.148537,North Eastern Melbourne,184,"https://www.google.com/maps/place/Eltham+VIC+3095/@-37.7202853,145.1065248,14z/data=!4m5!3m4!1s0x6ad637b45b29c27d:0x5045675218cd240!8m2!3d-37.715!4d145.158"
3095,RESEARCH,-37.703602,145.180636,North Eastern Melbourne,184,"https://www.google.com/maps/place/Research+VIC+3095/@-37.7057584,145.1532142,13z/data=!3m1!4b1!4m8!1m2!2m1!1sRESEARCH!3m4!1s0x6ad636f3e4273375:0x5045675218cd1e0!8m2!3d-37.707!4d145.18"
3099,HURSTBRIDGE,-37.640166,145.192477,North Eastern Melbourne,178,"https://www.google.com/maps/place/Hurstbridge+VIC+3099/@-37.6369758,145.1616801,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad634eb8b90279f:0x5045675218ccfa0!8m2!3d-37.638889!4d145.195"
3101,KEW,-37.797982,145.053727,Inner Eastern Melbourne,212,"https://www.google.com/maps/place/Kew+VIC+3101/@-37.8014711,145.0133822,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad643c1171f9cc3:0x5045675218ce750!8m2!3d-37.805278!4d145.035833"
3103,BALWYN,-37.809701,145.082303,Inner Eastern Melbourne,212,"https://www.google.com/maps/place/Balwyn+VIC+3103/@-37.8097008,145.0656092,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad6413b3565bd43:0x5045675218cd830!8m2!3d-37.808889!4d145.078889"
3105,BULLEEN,-37.768554,145.079543,Inner Eastern Melbourne,219,"https://www.google.com/maps/place/Bulleen+VIC+3105/@-37.7669906,145.0682015,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad646fb27a91b33:0x5045675218cd560!8m2!3d-37.77!4d145.09"
3106,TEMPLESTOWE,-37.768882,145.117873,Inner Eastern Melbourne,219,"https://www.google.com/maps/place/Templestowe+VIC+3106/@-37.7562616,145.1126002,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad6380a10e5173d:0x5045675218cd450!8m2!3d-37.753!4d145.135"
3108,DONCASTER,-37.783031,145.122517,Inner Eastern Melbourne,219,"https://www.google.com/maps/place/Doncaster+VIC+3108/@-37.7830314,145.1049815,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad6472a6aa3a563:0x5045675218cd6e0!8m2!3d-37.787!4d145.124"
3109,DONCASTER EAST,-37.811994,145.19474,Inner Eastern Melbourne,204,"https://www.google.com/maps/place/Doncaster+East+VIC+3109/@-37.7757999,145.1282614,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad6468dfb5a1305:0x5045675218cd4c0!8m2!3d-37.783!4d145.166"
3111,DONVALE,-38.183899,144.468019,Inner Eastern Melbourne,204,"https://www.google.com/maps/place/Donvale+VIC+3111/@-37.7757999,145.1282614,13z/data=!4m5!3m4!1s0x6ad639ad0f7d5f5f:0x5045675218cd670!8m2!3d-37.797!4d145.175"
3121,BURNLEY,-37.826869,145.007098,Inner Melbourne,275,"https://www.google.com/maps/place/Burnley+VIC+3121/@-37.7866982,145.1595133,13z/data=!4m5!3m4!1s0x6ad642434500a155:0x5045675218cd980!8m2!3d-37.8299258!4d145.0176466"
3121,RICHMOND,-37.818587,144.999181,Inner Melbourne,275,"https://www.google.com/maps/place/Richmond+VIC+3121/@-37.8220624,144.9853486,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad64259018db945:0x5045675218ce810!8m2!3d-37.823!4d144.998"
3122,HAWTHORN,-37.834855,145.052097,Inner Eastern Melbourne,225,"https://www.google.com/maps/place/Hawthorn+VIC+3122/@-37.8286152,145.0131177,14z/data=!3m1!4b1!4m8!1m2!2m1!1sHAWTHORN!3m4!1s0x6ad642390570a5c1:0x5045675218cd8f0!8m2!3d-37.826!4d145.034"
3124,CAMBERWELL,-37.824818,145.057957,Inner Eastern Melbourne,223,"https://www.google.com/maps/place/Camberwell+VIC+3124/@-37.8286152,145.0131177,14z/data=!4m5!3m4!1s0x6ad63f63ad12c04f:0x5045675218cd960!8m2!3d-37.835!4d145.071"
3125,BURWOOD,-37.852805,145.151909,Inner Eastern Melbourne,222,"https://www.google.com/maps/place/Burwood+VIC+3125/@-37.835636,145.0581358,14z/data=!4m5!3m4!1s0x6ad6405e68fe18f5:0x5045675218cda10!8m2!3d-37.85!4d145.114"
3126,CANTERBURY,-37.824249,145.073114,Inner Eastern Melbourne,215,"https://www.google.com/maps/place/Canterbury+VIC+3126/@-37.8241427,144.9847916,12z/data=!4m8!1m2!2m1!1sCANTERBURY!3m4!1s0x6ad6410d1deefb63:0x5045675218cd920!8m2!3d-37.825!4d145.078"
3127,MONT ALBERT,-37.821232,145.104996,Inner Eastern Melbourne,215,"https://www.google.com/maps/place/Mont+Albert+VIC+3127/@-37.8242493,145.0556516,14z/data=!4m5!3m4!1s0x6ad640c475a3a901:0x5045675218cfe00!8m2!3d-37.816111!4d145.11"
3127,SURREY HILLS,-37.825077,145.097412,Inner Eastern Melbourne,215,"https://www.google.com/maps/place/Surrey+Hills+VIC+3127/@-37.8252754,145.0820704,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad640e6d54af80f:0x5045675218cd8c0!8m2!3d-37.83!4d145.106"
3128,BOX HILL,-37.817455,145.119314,Inner Eastern Melbourne,225,"https://www.google.com/maps/place/Box+Hill+VIC+3128/@-37.8252754,145.0820704,14z/data=!4m5!3m4!1s0x6ad640a5542b19f7:0x5045675218cd900!8m2!3d-37.8215!4d145.126"
3130,BLACKBURN,-37.819374,145.153852,Inner Eastern Melbourne,200,"https://www.google.com/maps/place/Blackburn+VIC+3130/@-37.8215001,145.1174221,15z/data=!4m5!3m4!1s0x6ad638b42e39b407:0x5045675218cd8a0!8m2!3d-37.826!4d145.151"
3131,FOREST HILL,-37.834099,145.166527,Inner Eastern Melbourne,191,"https://www.google.com/maps/place/Forest+Hill+VIC+3131/@-37.8215461,145.134521,14z/data=!4m5!3m4!1s0x6ad63f23475a9d8b:0x5045675218cda00!8m2!3d-37.842!4d145.172"
3131,NUNAWADING,-37.820037,145.175726,Inner Eastern Melbourne,192,"https://www.google.com/maps/place/Nunawading+VIC+3131/@-37.816914,145.1590111,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad63f2d7406910f:0x5045675218cd850!8m2!3d-37.817!4d145.177"
3132,MITCHAM,-37.816878,145.193712,Inner Eastern Melbourne,192,"https://www.google.com/maps/place/Mitcham+VIC+3132/@-37.8169479,145.1814904,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad6391597c26779:0x5045675218cd860!8m2!3d-37.818!4d145.197"
3133,VERMONT,-37.836235,145.194651,Inner Eastern Melbourne,191,"https://www.google.com/maps/place/Vermont+VIC+3133/@-37.8387291,145.1819288,14z/data=!3m1!4b1!4m8!1m2!2m1!1sVERMONT!3m4!1s0x6ad63ecb69dc416b:0x5045675218cd9c0!8m2!3d-37.838!4d145.198"
