id,university,campus,suburb,distance
403,Monash University,Clayton,MT MARTHA,44.777
404,Monash University,Clayton,DROMANA,48.867
405,Monash University,Clayton,PORTSEA,60.007
406,Monash University,Clayton,HAMPTON PARK,17.532
407,Monash University,Clayton,CRANBOURNE,24.809
408,RMIT University,CBD,CBD,0.945
409,RMIT University,CBD,EAST MELBOURNE,2.356
410,RMIT University,CBD,WEST MELBOURNE,1.961
411,RMIT University,CBD,SOUTHBANK,1.703
412,RMIT University,CBD,DOCKLANDS,1.531
413,RMIT University,CBD,FOOTSCRAY,5.68
414,RMIT University,CBD,SEDDON,5.965
415,RMIT University,CBD,WEST FOOTSCRAY,7.424
416,RMIT University,CBD,YARRAVILLE,6.528
417,RMIT University,CBD,NEWPORT,8.02
418,RMIT University,CBD,SPOTSWOOD,7.286
419,RMIT University,CBD,WILLIAMSTOWN,7.923
420,RMIT University,CBD,ALTONA,13.532
421,RMIT University,CBD,SUNSHINE,12.773
422,RMIT University,CBD,ST ALBANS,16.02
423,RMIT University,CBD,DEER PARK,17.114
424,RMIT University,CBD,HOPPERS CROSSING,24.563
425,RMIT University,CBD,WERRIBEE,28.874
426,RMIT University,CBD,FLEMINGTON,3.558
427,RMIT University,CBD,KENSINGTON,3.367
428,RMIT University,CBD,ASCOT VALE,5.024
429,RMIT University,CBD,KEILOR EAST,16.727
430,RMIT University,CBD,AVONDALE HEIGHTS,14.953
431,RMIT University,CBD,SYDENHAM,21.224
432,RMIT University,CBD,MOONEE PONDS,6.111
433,RMIT University,CBD,ESSENDON,7.161
434,RMIT University,CBD,GLADSTONE PARK,15.037
435,RMIT University,CBD,TULLAMARINE,15.277
436,RMIT University,CBD,PASCOE VALE,9.214
437,RMIT University,CBD,PASCOE VALE SOUTH,7.824
438,RMIT University,CBD,GLENROY,12.26
439,RMIT University,CBD,OAK PARK,10.713
440,RMIT University,CBD,BROADMEADOWS,14.652
441,RMIT University,CBD,NORTH MELBOURNE,13.62
442,RMIT University,CBD,PARKVILLE,2.573
443,RMIT University,CBD,CARLTON,2.705
444,RMIT University,CBD,CARLTON NORTH,2.705
445,RMIT University,CBD,BRUNSWICK,5.114
446,RMIT University,CBD,COBURG,7.231
447,RMIT University,CBD,COBURG NORTH,8.632
448,RMIT University,CBD,FAWKNER,8.015
449,RMIT University,CBD,CRAIGIEBURN,23.36
450,RMIT University,CBD,ROXBURGH PARK,19.26
451,RMIT University,CBD,FITZROY,1.608
452,RMIT University,CBD,COLLINGWOOD,2.026
453,RMIT University,CBD,ABBOTSFORD,3.196
454,RMIT University,CBD,CLIFTON HILL,3.369
455,RMIT University,CBD,FITZROY NORTH,3.332
456,RMIT University,CBD,NORTHCOTE,5.103
457,RMIT University,CBD,THORNBURY,6.673
458,RMIT University,CBD,PRESTON,8.387
459,RMIT University,CBD,RESERVOIR,10.856
460,RMIT University,CBD,THOMASTOWN,14.913
461,RMIT University,CBD,LALOR,16.53
462,RMIT University,CBD,EPPING,19.327
463,RMIT University,CBD,ALPHINGTON,6.7
464,RMIT University,CBD,FAIRFIELD,5.966
465,RMIT University,CBD,IVANHOE,8.097
466,RMIT University,CBD,IVANHOE EAST,9.321
467,RMIT University,CBD,HEIDELBERG WEST,9.479
468,RMIT University,CBD,MILL PARK,17.801
469,RMIT University,CBD,BUNDOORA,15.256
470,RMIT University,CBD,HEIDELBERG,10.801
471,RMIT University,CBD,GREENSBOROUGH,16.849
472,RMIT University,CBD,MONTMORENCY,17.342
473,RMIT University,CBD,ELTHAM,19.387
474,RMIT University,CBD,RESEARCH,22.387
475,RMIT University,CBD,HURSTBRIDGE,27.507
476,RMIT University,CBD,KEW,8.033
477,RMIT University,CBD,BALWYN,10.467
478,RMIT University,CBD,BULLEEN,11.133
479,RMIT University,CBD,TEMPLESTOWE,14.282
480,RMIT University,CBD,DONCASTER,14.281
481,RMIT University,CBD,DONCASTER EAST,20.359
482,RMIT University,CBD,DONVALE,60.313
483,RMIT University,CBD,BURNLEY,4.382
484,RMIT University,CBD,RICHMOND,3.364
485,RMIT University,CBD,HAWTHORN,8.357
486,RMIT University,CBD,CAMBERWELL,8.529
487,RMIT University,CBD,BURWOOD,17.313
488,RMIT University,CBD,CANTERBURY,9.823
489,RMIT University,CBD,MONT ALBERT,12.546
490,RMIT University,CBD,SURREY HILLS,11.944
491,RMIT University,CBD,BOX HILL,13.76
492,RMIT University,CBD,BLACKBURN,16.804
493,RMIT University,CBD,FOREST HILL,18.103
494,RMIT University,CBD,NUNAWADING,18.728
495,RMIT University,CBD,MITCHAM,20.287
496,RMIT University,CBD,VERMONT,20.583
497,RMIT University,CBD,RINGWOOD,23.232
498,RMIT University,CBD,CROYDON,27.935
499,RMIT University,CBD,LILYDALE,34.323
500,RMIT University,CBD,SOUTH YARRA,4.12
501,RMIT University,CBD,TOORAK,6.122
502,RMIT University,CBD,ARMADALE,7.489
503,RMIT University,CBD,MALVERN,8.253
504,RMIT University,CBD,MALVERN EAST,12.072
505,RMIT University,CBD,GLEN IRIS,10.505
506,RMIT University,CBD,ASHBURTON,11.921
507,RMIT University,CBD,CHADSTONE,13.629
508,RMIT University,CBD,MOUNT WAVERLEY,16.326
509,RMIT University,CBD,GLEN WAVERLEY,19.445
510,RMIT University,CBD,BURWOOD EAST,16.392
511,RMIT University,CBD,WANTIRNA,23.757
512,RMIT University,CBD,BAYSWATER,26.934
513,RMIT University,CBD,BORONIA,28.106
514,RMIT University,CBD,FERNTREE GULLY,30.361
515,RMIT University,CBD,CAULFIELD,9.802
516,RMIT University,CBD,CARNEGIE,12.298
517,RMIT University,CBD,MURRUMBEENA,12.983
518,RMIT University,CBD,HUGHESDALE,13.939
519,RMIT University,CBD,OAKLEIGH,14.925
520,RMIT University,CBD,CLAYTON,18.962
521,RMIT University,CBD,MULGRAVE,14.051
522,RMIT University,CBD,SPRINGVALE,24.365
523,RMIT University,CBD,NOBLE PARK,25.761
524,RMIT University,CBD,DANDENONG,29.732
