,university,campus,from suburb,distance
515,RMIT University,City,GLEN WAVERLEY,19.445
516,RMIT University,City,BURWOOD EAST,16.392
517,RMIT University,City,WANTIRNA,23.757
518,RMIT University,City,BAYSWATER,26.934
519,RMIT University,City,BORONIA,28.106
520,RMIT University,City,FERNTREE GULLY,30.361
521,RMIT University,City,CAULFIELD,9.802
522,RMIT University,City,CARNEGIE,12.298
523,RMIT University,City,MURRUMBEENA,12.983
524,RMIT University,City,HUGHESDALE,13.939
525,RMIT University,City,OAKLEIGH,14.925
526,RMIT University,City,CLAYTON,18.962
527,RMIT University,City,MULGRAVE,14.051
528,RMIT University,City,SPRINGVALE,24.365
529,RMIT University,City,NOBLE PARK,25.761
530,RMIT University,City,DANDENONG,29.732
531,RMIT University,City,DANDENONG NORTH,27.589
532,RMIT University,City,ROWVILLE,27.416
533,RMIT University,City,SCORESBY,27.204
534,RMIT University,City,PRAHRAN,5.336
535,RMIT University,City,WINDSOR,5.923
536,RMIT University,City,ST KILDA,6.759
537,RMIT University,City,ELWOOD,9.11
538,RMIT University,City,ELSTERNWICK,9.255
539,RMIT University,City,BRIGHTON,11.957
540,RMIT University,City,BRIGHTON EAST,11.313
541,RMIT University,City,HAMPTON,10.314
542,RMIT University,City,CHELTENHAM,19.217
543,RMIT University,City,BEAUMARIS,20.755
544,RMIT University,City,MENTONE,21.403
545,RMIT University,City,ASPENDALE,27.187
546,RMIT University,City,MORDIALLOC,24.672
547,RMIT University,City,PARKDALE,22.785
548,RMIT University,City,CHELSEA,30.313
549,RMIT University,City,CARRUM,32.997
550,RMIT University,City,SEAFORD,37.125
551,RMIT University,City,FRANKSTON,40.019
552,RMIT University,City,CARRUM DOWNS,37.312
553,RMIT University,City,BENTLEIGH,13.785
554,RMIT University,City,SOUTH MELBOURNE,15.209
555,RMIT University,City,ALBERT PARK,3.69
556,RMIT University,City,MIDDLE PARK,4.636
557,RMIT University,City,PORT MELBOURNE,19.566
558,RMIT University,City,LARA,54.298
559,RMIT University,City,CORIO,60.785
560,RMIT University,City,NORTH GEELONG,63.997
561,RMIT University,City,BELMONT,68.102
562,RMIT University,City,GROVEDALE,71.105
563,RMIT University,City,GEELONG WEST,65.557
564,RMIT University,City,HERNE HILL,66.252
565,RMIT University,City,GEELONG,64.97
566,RMIT University,City,NEWTOWN,67.227
567,RMIT University,City,OCEAN GROVE,63.398
