postcode,Suburb,lat,lon,Food Services,Total_businesses,convenient_level,food_service_level,Region,Average_per_person,House_rent
3146,GLEN IRIS,-37.854687,145.067215,169,5352,4,4,Inner Eastern Melbourne,223,218
3147,ASHBURTON,-37.863393,145.07942,22,747,2,2,Inner Eastern Melbourne,222,166
3148,CHADSTONE,-37.886372,145.082527,97,1618,3,3,Inner Eastern Melbourne,202,150
3149,MOUNT WAVERLEY,-37.875273,145.128398,183,4194,4,4,Inner Eastern Melbourne,201,154
3150,GLEN WAVERLEY,-37.877631,145.166222,228,4257,4,4,Inner Eastern Melbourne,202,150
3151,BURWOOD EAST,-37.858352,145.138553,50,896,2,2,Inner Eastern Melbourne,191,147
3152,WANTIRNA,-37.847915,145.228757,46,982,2,2,Outer Eastern Melbourne,186,138
3153,BAYSWATER,-37.84126,145.266725,52,1966,3,3,Outer Eastern Melbourne,173,132
3155,BORONIA,-37.861504,145.275762,67,1569,3,3,Outer Eastern Melbourne,178,133
3156,FERNTREE GULLY,-37.883019,145.295404,72,2044,3,3,Outer Eastern Melbourne,174,133
3162,CAULFIELD,-37.880479,145.026806,162,6043,4,4,Southern Melbourne,223,220
3163,CARNEGIE,-37.889336,145.058121,76,1466,3,3,Southern Melbourne,218,182
